2017 American Community Survey (1-year estimates),,,,,,,,,,,,,,,,,,,,,,
HEALTH INSURANCE COVERAGE,,,,,,,,,,,,,,,,,,,,,,
"California, Counties and Places with 65,000+ Population",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Civilian noninstitutionalized population,,"With health insurance coverage - 
Total",,,,"With health insurance coverage - 
private health insurance 
(alone or with public coverage)",,,,"With health insurance coverage - 
public coverage 
(alone or with private coverage)",,,,No health insurance coverage,,,,,,,
Irvine city,"277,245",+/-174,"264,579","+/-6,290",95.4,+/-2.3,"222,699","+/-9,480",80.3,+/-3.4,"58,082","+/-6,859",20.9,+/-2.5,"12,666","+/-6,286",4.6,+/-2.3,,160,059,36770
Laguna Niguel city,"66,309",+/-63,"64,898",+/-708,97.9,+/-1.1,"53,476","+/-2,278",80.6,+/-3.4,"20,786","+/-2,681",31.3,+/-4.0,"1,411",+/-705,2.1,+/-1.1,,160,059,39248
Lake Forest city,"84,161",+/-184,"78,418","+/-1,879",93.2,+/-2.2,"64,647","+/-2,642",76.8,+/-3.1,"20,236","+/-2,213",24.0,+/-2.6,"5,743","+/-1,856",6.8,+/-2.2,,160,059,39496
Mission Viejo city,"95,578",+/-340,"92,255","+/-1,815",96.5,+/-1.9,"75,399","+/-3,211",78.9,+/-3.4,"27,288","+/-2,841",28.6,+/-3.0,"3,323","+/-1,784",3.5,+/-1.9,,160,059,48256
Newport Beach city,"85,898",+/-249,"83,631","+/-1,168",97.4,+/-1.3,"71,823","+/-2,708",83.6,+/-3.1,"23,925","+/-3,038",27.9,+/-3.6,"2,267","+/-1,149",2.6,+/-1.3,,160,059,51182
Orange city,"136,749",+/-798,"128,171","+/-1,811",93.7,+/-1.3,"95,488","+/-4,098",69.8,+/-3.0,"42,290","+/-3,949",30.9,+/-2.9,"8,578","+/-1,803",6.3,+/-1.3,,160,059,53980
San Clemente city,"65,153",+/-159,"62,880","+/-1,298",96.5,+/-2.0,"49,536","+/-3,209",76.0,+/-4.9,"20,115","+/-2,904",30.9,+/-4.5,"2,273","+/-1,291",3.5,+/-2.0,,160,059,65084
Santa Ana city,"331,778",+/-877,"274,528","+/-5,232",82.7,+/-1.5,"136,440","+/-7,433",41.1,+/-2.2,"151,465","+/-6,677",45.7,+/-2.0,"57,250","+/-4,971",17.3,+/-1.5,,160,059,69000
Tustin city,"80,191",+/-212,"75,849","+/-1,562",94.6,+/-1.9,"54,036","+/-3,737",67.4,+/-4.7,"28,070","+/-3,434",35.0,+/-4.3,"4,342","+/-1,545",5.4,+/-1.9,,160,059,80854
Westminster city,"91,290",+/-213,"84,704","+/-2,118",92.8,+/-2.3,"50,389","+/-3,955",55.2,+/-4.3,"40,079","+/-3,692",43.9,+/-4.0,"6,586","+/-2,099",7.2,+/-2.3,,160,059,84550
Yorba Linda city,"68,102",+/-127,"67,139",+/-531,98.6,+/-0.8,"58,535","+/-1,964",86.0,+/-2.9,"15,251","+/-2,222",22.4,+/-3.3,963,+/-527,1.4,+/-0.8,,160,059,86832
Placer County,"383,639",+/-813,"369,833","+/-2,834",96.4,+/-0.7,"300,572","+/-7,128",78.3,+/-1.8,"126,732","+/-6,154",33.0,+/-1.6,"13,806","+/-2,631",3.6,+/-0.7,,050,061,
Roseville city,"134,617",+/-315,"129,720","+/-1,599",96.4,+/-1.2,"105,741","+/-3,931",78.5,+/-2.9,"41,852","+/-3,780",31.1,+/-2.8,"4,897","+/-1,557",3.6,+/-1.2,,160,061,62938
Riverside County,"2,400,720","+/-2,225","2,208,502","+/-11,617",92.0,+/-0.5,"1,395,539","+/-17,629",58.1,+/-0.7,"1,017,612","+/-17,139",42.4,+/-0.7,"192,218","+/-11,738",8.0,+/-0.5,,050,065,
Corona city,"167,026",+/-442,"153,073","+/-2,797",91.6,+/-1.7,"111,029","+/-5,260",66.5,+/-3.1,"51,483","+/-5,018",30.8,+/-3.0,"13,953","+/-2,757",8.4,+/-1.7,,160,065,16350
Hemet city,"84,315",+/-391,"76,909","+/-4,330",91.2,+/-5.1,"37,790","+/-5,185",44.8,+/-6.1,"49,295","+/-4,727",58.5,+/-5.6,"7,406","+/-4,294",8.8,+/-5.1,,160,065,33182
Indio city,"89,348",+/-542,"83,693","+/-1,519",93.7,+/-1.7,"46,437","+/-3,899",52.0,+/-4.4,"48,052","+/-3,875",53.8,+/-4.3,"5,655","+/-1,482",6.3,+/-1.7,,160,065,36448
Jurupa Valley city,"105,455",+/-313,"95,562","+/-2,241",90.6,+/-2.1,"60,660","+/-4,924",57.5,+/-4.7,"43,311","+/-4,439",41.1,+/-4.2,"9,893","+/-2,232",9.4,+/-2.1,,160,065,37692
Lake Elsinore city,"66,295",+/-190,"59,412","+/-2,789",89.6,+/-4.2,"31,147","+/-4,115",47.0,+/-6.2,"31,309","+/-4,463",47.2,+/-6.7,"6,883","+/-2,776",10.4,+/-4.2,,160,065,39486
Menifee city,"90,116",+/-363,"86,385","+/-1,162",95.9,+/-1.3,"56,947","+/-4,341",63.2,+/-4.9,"39,082","+/-4,215",43.4,+/-4.7,"3,731","+/-1,203",4.1,+/-1.3,,160,065,46842
Moreno Valley city,"206,570",+/-409,"187,367","+/-3,753",90.7,+/-1.8,"107,527","+/-6,076",52.1,+/-2.9,"91,471","+/-5,838",44.3,+/-2.8,"19,203","+/-3,763",9.3,+/-1.8,,160,065,49270
Murrieta city,"112,612",+/-532,"106,663","+/-1,888",94.7,+/-1.7,"78,619","+/-5,359",69.8,+/-4.8,"38,771","+/-4,768",34.4,+/-4.2,"5,949","+/-1,973",5.3,+/-1.7,,160,065,50076
Perris city,"77,725",+/-250,"68,360","+/-2,234",88.0,+/-2.9,"36,056","+/-5,138",46.4,+/-6.6,"35,199","+/-4,684",45.3,+/-6.0,"9,365","+/-2,263",12.0,+/-2.9,,160,065,56700
Riverside city,"325,167",+/-775,"297,047","+/-3,908",91.4,+/-1.2,"187,191","+/-9,492",57.6,+/-2.9,"129,149","+/-7,781",39.7,+/-2.4,"28,120","+/-3,792",8.6,+/-1.2,,160,065,62000
Temecula city,"113,517",+/-358,"108,561","+/-1,638",95.6,+/-1.4,"84,354","+/-3,605",74.3,+/-3.2,"35,112","+/-4,062",30.9,+/-3.6,"4,956","+/-1,560",4.4,+/-1.4,,160,065,78120
Sacramento County,"1,517,379","+/-1,699","1,431,560","+/-7,082",94.3,+/-0.5,"990,709","+/-16,253",65.3,+/-1.1,"616,821","+/-16,463",40.7,+/-1.1,"85,819","+/-6,842",5.7,+/-0.5,,050,067,
Arden-Arcade CDP,"99,954","+/-7,388","94,049","+/-7,053",94.1,+/-2.0,"60,451","+/-5,001",60.5,+/-3.9,"44,077","+/-4,983",44.1,+/-3.4,"5,905","+/-2,113",5.9,+/-2.0,,160,067,02553
Carmichael CDP,"65,524","+/-5,779","61,461","+/-5,473",93.8,+/-3.1,"45,190","+/-4,544",69.0,+/-4.6,"26,460","+/-3,873",40.4,+/-4.8,"4,063","+/-2,135",6.2,+/-3.1,,160,067,11390
Citrus Heights city,"87,696",+/-236,"83,435","+/-1,422",95.1,+/-1.6,"59,676","+/-3,643",68.0,+/-4.1,"37,435","+/-3,797",42.7,+/-4.3,"4,261","+/-1,386",4.9,+/-1.6,,160,067,13588
Elk Grove city,"171,291",+/-496,"165,618","+/-1,542",96.7,+/-0.9,"132,215","+/-4,841",77.2,+/-2.8,"53,105","+/-4,672",31.0,+/-2.7,"5,673","+/-1,524",3.3,+/-0.9,,160,067,22020
Folsom city,"73,942","+/-1,343","72,664","+/-1,362",98.3,+/-0.7,"63,860","+/-2,713",86.4,+/-3.3,"18,162","+/-2,855",24.6,+/-3.8,"1,278",+/-556,1.7,+/-0.7,,160,067,24638
Rancho Cordova city,"73,360",+/-184,"67,273","+/-1,730",91.7,+/-2.4,"43,646","+/-3,237",59.5,+/-4.4,"31,685","+/-2,793",43.2,+/-3.8,"6,087","+/-1,748",8.3,+/-2.4,,160,067,59444
Sacramento city,"497,785","+/-1,459","469,251","+/-3,651",94.3,+/-0.7,"309,514","+/-9,134",62.2,+/-1.8,"211,357","+/-9,046",42.5,+/-1.8,"28,534","+/-3,553",5.7,+/-0.7,,160,067,64000
San Bernardino County,"2,103,552","+/-3,893","1,944,372","+/-10,858",92.4,+/-0.5,"1,176,577","+/-20,312",55.9,+/-1.0,"920,937","+/-18,038",43.8,+/-0.9,"159,180","+/-10,234",7.6,+/-0.5,,050,071,
Apple Valley town,"72,677",+/-273,"69,679","+/-1,434",95.9,+/-1.8,"41,331","+/-5,096",56.9,+/-7.0,"36,644","+/-4,951",50.4,+/-6.8,"2,998","+/-1,309",4.1,+/-1.8,,160,071,02364
