LON,LAT,FAC_NAME1,GRADE,addresses,ZIP2,CITY_NAME,ACPTBL_POC_SW,SSA_CNTY_CD,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,INTRMDRY_CARR_CD,MDCD_VNDR_NUM,ORGNL_PRTCPTN_DT,PRVDR_NUM,RGN_CD,SKLTN_REC_SW,STATE_CD,SSA_STATE_CD,STATE_RGN_CD,ST_ADR,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,GNRL_CNTL_TYPE_CD,ZIP_CD,FIPS_STATE_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,CBSA_CD,Geography,Civilian noninstitutionalized population,Insured Estimate,Insured %,Privately Insured Estimate,Privately Insured Percent,Public or subsidized Coveraged,"
Public coverage 
 Percent",No health insurance coverage Estimate,No health insurance coverage Percent,Summary Level,County,Place,Geography.1,Total Civilian Noninstitutionalized Population,Avg orMedian age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanicor Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American or Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian or Pacific Islander Prop,"Other Race Only, Not Hispanic or Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + with poor English
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,19930525,N,LOS ANGELES MEDICAL CENTER,,,19930525,05D0542845,9,Y,CA,5,LAB,1832 SUNSET BLVD,5,20071227,4,90026,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5
-118.2905784,34.0962209,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,d,"1300 N. VERMONT AVENUE
                LOS ANGELES, CA 90027-0069",900270069,LOS ANGELES,Y,200,20070313,Y,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,,,19930108,05D0543017,9,N,CA,5,M1,1300 N VERMONT AVE,0,20190316,4,90027,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5
-118.2081017,34.059442,LOS ANGELES COUNTY UNIVERSITY OF SOUTHERN CALIFORNIA MEDICAL CENTER,d,"2051 MARENGO ST.
                LOS ANGELES, CA 90033-1029",900331029,LOS ANGELES,N,200,19930111,N,LOS ANGELES COUNTY UNIVERSITY OF,,,19930111,05D0543401,9,Y,CA,5,M1,"1200 NORTH STATE STREET, CT-A7E",0,20190227,6,90033,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,19930525,N,LOS ANGELES MEDICAL CENTER,,,19930525,05D0545183,9,Y,CA,5,LAB,1930 WILSHIRE BOULEVARD SUITE 600,8,20180831,4,90057,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,20161121,Y,LOS ANGELES MEDICAL CENTER,,,19930525,05D0545311,9,N,CA,5,M1,2010 WILSHIRE BLVD 2ND FL,0,20181209,4,90057,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,LOS ANGELES COUNTY,10096702,36.6,3311231,66.4,33.6,3.02,3.71,319944,19.3,264635,3.3,6.5,4939605,48.6,2644767,26,794235,7.8,23470,0.2,1482797,14.6,24573,0.2,29496,0.3,224564,2.2,65.7,34.3,52.4,9545528,56.9,23.5
-118.130298,33.935296,PIH HEALTH HOSPITAL - DOWNEY,c,"11500 BROOKSHIRE AVENUE
                DOWNEY, CA 90241",90241,DOWNEY,N,200,19930121,N,PIH HEALTH HOSPITAL - DOWNEY,,,19930121,05D0547507,9,Y,CA,5,M1,11500  BROOKSHIRE AVE,0,20190102,3,90241,6,37,U,31084,DOWNEY CITY,112636,102207,90.7,69026,61.3,39794,35.3,10429,9.3,160,37,19766,DOWNEY CITY,112636,34.7,33578,78.2,21.8,3.35,3.79,4436,17.9,2226,2.6,0,87522,77.4,13696,12.1,3053,2.7,99,0.1,6702,5.9,488,0.4,240,0.2,1289,1.1,67.9,32.1,66.3,105297,71,18.1
-118.2650593,34.0541988,GOOD SAMARITAN HOSPITAL OF LOS ANGELES,c,"1225 WILSHIRE BOULEVARD
                LOS ANGELES, CA 90017-2395",900172395,LOS ANGELES,N,200,19930304,N,GOOD SAMARITAN HOSPITAL,,,19930304,05D0541582,9,Y,CA,5,M1,1225 WILSHIRE BLVD,0,20190227,2,90017,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-121.9463305,37.2520715,GOOD SAMARITAN HOSPITAL OF SAN JOSE,c,"2425 SAMARITAN DRIVE
                SAN JOSE, CA 95124-3997",951243997,LOS ANGELES,N,200,19930304,N,GOOD SAMARITAN HOSPITAL,,,19930304,05D0541582,9,Y,CA,5,M1,1225 WILSHIRE BLVD,0,20190227,2,90017,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,19930525,N,LOS ANGELES MEDICAL CENTER,,,19930525,05D0542845,9,Y,CA,5,LAB,1832 SUNSET BLVD,5,20071227,4,90026,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2905784,34.0962209,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,d,"1300 N. VERMONT AVENUE
                LOS ANGELES, CA 90027-0069",900270069,LOS ANGELES,Y,200,20070313,Y,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,,,19930108,05D0543017,9,N,CA,5,M1,1300 N VERMONT AVE,0,20190316,4,90027,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2081017,34.059442,LOS ANGELES COUNTY UNIVERSITY OF SOUTHERN CALIFORNIA MEDICAL CENTER,d,"2051 MARENGO ST.
                LOS ANGELES, CA 90033-1029",900331029,LOS ANGELES,N,200,19930111,N,LOS ANGELES COUNTY UNIVERSITY OF,,,19930111,05D0543401,9,Y,CA,5,M1,"1200 NORTH STATE STREET, CT-A7E",0,20190227,6,90033,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,19930525,N,LOS ANGELES MEDICAL CENTER,,,19930525,05D0545183,9,Y,CA,5,LAB,1930 WILSHIRE BOULEVARD SUITE 600,8,20180831,4,90057,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,20161121,Y,LOS ANGELES MEDICAL CENTER,,,19930525,05D0545311,9,N,CA,5,M1,2010 WILSHIRE BLVD 2ND FL,0,20181209,4,90057,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2650593,34.0541988,GOOD SAMARITAN HOSPITAL OF LOS ANGELES,c,"1225 WILSHIRE BOULEVARD
                LOS ANGELES, CA 90017-2395",900172395,LOS ANGELES,N,200,19930304,N,GOOD SAMARITAN HOSPITAL,,,19930304,05D0541582,9,Y,CA,5,M1,1225 WILSHIRE BLVD,0,20190227,2,90017,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-121.9463305,37.2520715,GOOD SAMARITAN HOSPITAL OF SAN JOSE,c,"2425 SAMARITAN DRIVE
                SAN JOSE, CA 95124-3997",951243997,LOS ANGELES,N,200,19930304,N,GOOD SAMARITAN HOSPITAL,,,19930304,05D0541582,9,Y,CA,5,M1,1225 WILSHIRE BLVD,0,20190227,2,90017,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,19930525,N,LOS ANGELES MEDICAL CENTER,,,19930525,05D0542845,9,Y,CA,5,LAB,1832 SUNSET BLVD,5,20071227,4,90026,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2905784,34.0962209,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,d,"1300 N. VERMONT AVENUE
                LOS ANGELES, CA 90027-0069",900270069,LOS ANGELES,Y,200,20070313,Y,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,,,19930108,05D0543017,9,N,CA,5,M1,1300 N VERMONT AVE,0,20190316,4,90027,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2081017,34.059442,LOS ANGELES COUNTY UNIVERSITY OF SOUTHERN CALIFORNIA MEDICAL CENTER,d,"2051 MARENGO ST.
                LOS ANGELES, CA 90033-1029",900331029,LOS ANGELES,N,200,19930111,N,LOS ANGELES COUNTY UNIVERSITY OF,,,19930111,05D0543401,9,Y,CA,5,M1,"1200 NORTH STATE STREET, CT-A7E",0,20190227,6,90033,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,19930525,N,LOS ANGELES MEDICAL CENTER,,,19930525,05D0545183,9,Y,CA,5,LAB,1930 WILSHIRE BOULEVARD SUITE 600,8,20180831,4,90057,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,20161121,Y,LOS ANGELES MEDICAL CENTER,,,19930525,05D0545311,9,N,CA,5,M1,2010 WILSHIRE BLVD 2ND FL,0,20181209,4,90057,6,37,U,31084,EAST LOS ANGELES CDP,125389,113872,90.8,47339,37.8,71896,57.3,11517,9.2,160,37,20802,EAST LOS ANGELES CDP,125389,31.8,31910,79.8,20.2,3.93,4.47,N,N,1182,1.3,16.7,121254,96.6,1593,1.3,59,0,793,0.6,1809,1.4,24,0,0,0,10,0,59.8,40.2,40.5,116631,90,40.8
-118.2650593,34.0541988,GOOD SAMARITAN HOSPITAL OF LOS ANGELES,c,"1225 WILSHIRE BOULEVARD
                LOS ANGELES, CA 90017-2395",900172395,LOS ANGELES,N,200,19930304,N,GOOD SAMARITAN HOSPITAL,,,19930304,05D0541582,9,Y,CA,5,M1,1225 WILSHIRE BLVD,0,20190227,2,90017,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,LOS ANGELES CITY,3974895,35.8,1384851,59,41,2.83,3.66,113067,21.9,88461,2.8,6.6,1956978,48.9,1124411,28.1,349345,8.7,4904,0.1,455899,11.4,5167,0.1,13967,0.3,89071,2.2,63.1,36.9,47.4,3770311,59,25.5
-121.9463305,37.2520715,GOOD SAMARITAN HOSPITAL OF SAN JOSE,c,"2425 SAMARITAN DRIVE
                SAN JOSE, CA 95124-3997",951243997,LOS ANGELES,N,200,19930304,N,GOOD SAMARITAN HOSPITAL,,,19930304,05D0541582,9,Y,CA,5,M1,1225 WILSHIRE BLVD,0,20190227,2,90017,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,LOS ANGELES CITY,3974895,35.8,1384851,59,41,2.83,3.66,113067,21.9,88461,2.8,6.6,1956978,48.9,1124411,28.1,349345,8.7,4904,0.1,455899,11.4,5167,0.1,13967,0.3,89071,2.2,63.1,36.9,47.4,3770311,59,25.5
-118.2944131,34.098423,KAISER PERMANENTE LOS ANGELES MEDICAL CENTER,b,"4867 SUNSET BOULEVARD
                LOS ANGELES, CA 90027-5969",900275969,LOS ANGELES,N,200,19930525,N,LOS ANGELES MEDICAL CENTER,,,19930525,05D0542845,9,Y,CA,5,LAB,1832 SUNSET BLVD,5,20071227,4,90026,6,37,U,31084,LOS ANGELES COUNTY,10096702,9191163,91,5925851,58.7,3942307,39,905539,9,50,37,,LOS ANGELES CITY,3974895,35.8,1384851,59,41,2.83,3.66,113067,21.9,88461,2.8,6.6,1956978,48.9,1124411,28.1,349345,8.7,4904,0.1,455899,11.4,5167,0.1,13967,0.3,89071,2.2,63.1,36.9,47.4,3770311,59,25.5
