PRVDR_CTGRY_SBTYP_CD,PRVDR_CTGRY_CD,CITY_NAME,ACPTBL_POC_SW,CMPLNC_STUS_CD,SSA_CNTY_CD,CROSS_REF_PROVIDER_NUMBER,CRTFCTN_DT,ELGBLTY_SW,FAC_NAME,INTRMDRY_CARR_CD,MDCD_VNDR_NUM,ORGNL_PRTCPTN_DT,CHOW_PRIOR_DT,INTRMDRY_CARR_PRIOR_CD,PRVDR_NUM,RGN_CD,SKLTN_REC_SW,STATE_CD,SSA_STATE_CD,STATE_RGN_CD,ST_ADR,PGM_TRMNTN_CD,TRMNTN_EXPRTN_DT,CRTFCTN_ACTN_TYPE_CD,GNRL_CNTL_TYPE_CD,ZIP_CD,FIPS_STATE_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,CBSA_CD,AFFILIATED_PROVIDER_NUMBER_1,AFFILIATED_PROVIDER_NUMBER_2,AFFILIATED_PROVIDER_NUMBER_3,AFFILIATED_PROVIDER_NUMBER_4,AFFILIATED_PROVIDER_NUMBER_5,AFFILIATED_PROVIDER_NUMBER_6,Geography,Civilian noninstitutionalized population,Insured Estimate,Insured %,Privately Insured Estimate,Privately Insured Percent,Public or subsidized Coveraged,"
Public coverage 
 Percent",No health insurance coverage Estimate,No health insurance coverage Percent,Summary Level,County,Place,Geography.1,Total Civilian Noninstitutionalized Population,Avg orMedian age in years,Total Households Estimate,Prop Family households,Prop Nonfamily households,Average household size,Average family size,Gps living with gcs under 18 years,Prop  Gps caring for gc over 18,Number of Veterans,Veterans as Prop of population,Unemployed veterans Prop of labour force,Hispani or Latino,Hispanicor Latino Prop,White,White Prop,Black Estimate,Black Prop,Native American/Alaskan,Native American or Alaskan Prop,Asian,Asian Prop,Native Hawaiian/Pacific Islander,Native Hawaiian or Pacific Islander Prop,"Other Race Only, Not Hispanic or Latino","Other Race Only, Not Hispanic/Latino Prop","Two or more races alone, Not Hispanic or Latino Estimate","Two or more races alone, Not Hispanic or Latino Prop",Prop Native Born,Prop Foreign born,Prop of Foreign Born who are Naturalized U.S. citizen,Pop 5 years +,Pop 5 years + foreign language at home,Pop 5 years + with poor English,Unnamed: 0,lons,lats,names,grade,addresses,ZIP2
1,22,GLENDALE,N,NULL,200,NULL,19921221,N,ADVENTIST HEALTH GLENDALE LABORATORY,NULL,NULL,19921221,NULL,NULL,05D0059868,9,Y,CA,5,M1,1509 WILSON TERRACE,0,20190208,NULL,1,91206,6,37,U,31084,05D0557025,NULL,NULL,NULL,NULL,NULL,GLENDALE CITY,201543,189415,94,117867,58.5,86200,42.8,12128,6,160,37,30000,GLENDALE CITY,201543,43.9,74613,68.7,31.3,2.7,3.29,N,N,3252,1.9,0,34148,16.8,131643,64.8,4597,2.3,185,0.1,26147,12.9,79,0,177,0.1,6090,3,46.4,53.6,65,194039,67.6,35,86,-118.2300566,34.1503596,ADVENTIST HEALTH GLENDALE,a,"1509 WILSON TERRACE
                GLENDALE, CA 91206-4098",912064098
1,22,LONG BEACH,N,NULL,200,NULL,19921228,N,LONG BEACH MEMORIAL MEDICAL CENTER,NULL,NULL,19921228,NULL,NULL,05D0553826,9,Y,CA,5,M1,2801 ATLANTIC AVE,0,20190227,NULL,2,90806,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LONG BEACH CITY,466896,431741,92.5,281999,60.4,178830,38.3,35155,7.5,160,37,43000,LONG BEACH CITY,466896,35.3,167447,60.6,39.4,2.75,3.54,12588,37,17425,4.8,4,202761,43.2,132123,28.1,57719,12.3,1250,0.3,61923,13.2,3307,0.7,384,0.1,9992,2.1,74.6,25.4,53.1,438418,48.2,16.3,98,-118.1866967,33.8079754,LONG BEACH MEMORIAL MEDICAL CENTER,b,"2801 ATLANTIC AVE.
                LONG BEACH, CA 90806-1737",908061737
1,22,LOS ANGELES,N,A,200,NULL,20081125,Y,KFH WEST LOS ANGELES BLOOD GAS LABORATORY,NULL,NULL,19920901,NULL,NULL,05D0543484,9,N,CA,5,M1,6041 CADILLAC AVE,0,20200916,5,4,90034,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LOS ANGELES CITY,3974895,3558326,89.5,2189601,55.1,1615106,40.6,416569,10.5,160,37,44000,LOS ANGELES CITY,3974895,35.8,1384851,59,41,2.83,3.66,113067,21.9,88461,2.8,6.6,1956978,48.9,1124411,28.1,349345,8.7,4904,0.1,455899,11.4,5167,0.1,13967,0.3,89071,2.2,63.1,36.9,47.4,3770311,59,25.5,109,-118.3759001,34.0383466,KAISER FOUNDATION HOSPITAL - WEST LOS ANGELES,c,"6041 CADILLAC AVENUE
                LOS ANGELES, CA 90034-1702",900341702
1,22,SANTA MONICA,N,NULL,200,05D0867564,19930301,N,SANTA MONICA-UCLA MEDICAL CENTER AND ORTHOPAEDIC,NULL,NULL,19930301,NULL,NULL,05D0550292,9,Y,CA,5,M1,1250 16TH STREET,0,20190227,NULL,7,90404,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,SANTA MONICA CITY,91573,88678,96.8,69909,76.3,28278,30.9,2895,3.2,160,37,70000,SANTA MONICA CITY,91573,41.1,45258,42.4,57.6,2,2.93,N,N,2210,2.8,0,13549,14.7,58305,63.2,3901,4.2,0,0,9416,10.2,103,0.1,869,0.9,6155,6.7,73.5,26.5,53.4,87191,28.7,10.5,125,-118.4865119,34.0268545,UCLA MEDICAL CENTER OF SANTA MONICA,a,"1250 16TH STREET
                SANTA MONICA, CA 90404",90404
1,22,MISSION VIEJO,N,NULL,400,NULL,19921215,N,MISSION HOSPITAL LABORATORY,NULL,NULL,19921215,NULL,NULL,05D0061551,9,Y,CA,5,LAB,27700 MEDICAL CENTER ROAD,0,20190208,NULL,1,92691,6,59,U,11244,05D0579701,05D0903813,05D1055384,NULL,NULL,NULL,MISSION VIEJO CITY,95578,92255,96.5,75399,78.9,27288,28.6,3323,3.5,160,59,48256,MISSION VIEJO CITY,95578,44.7,33936,76.1,23.9,2.78,3.15,N,N,6140,8,0,14544,15.1,65086,67.8,1098,1.1,611,0.6,11129,11.6,0,0,132,0.1,3409,3.6,80.5,19.5,70.2,91129,22.9,8,48,-117.6654654,33.5610516,MISSION HOSPITAL REGIONAL MEDICAL CENTER,b,"27700 MEDICAL CENTER ROAD
                MISSION VIEJO, CA 92691-6426",926916426
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SAN FRANCISCO COUNTY,880097,848617,96.4,662633,75.3,262229,29.8,31480,3.6,50,75,NULL,SAN FRANCISCO COUNTY,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SAN FRANCISCO CITY,880097,848617,96.4,662633,75.3,262229,29.8,31480,3.6,160,75,67000,SAN FRANCISCO COUNTY,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SOUTH SAN FRANCISCO CITY,67378,62397,92.6,47888,71.1,21077,31.3,4981,7.4,160,81,73262,SAN FRANCISCO COUNTY,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SAN FRANCISCO COUNTY,880097,848617,96.4,662633,75.3,262229,29.8,31480,3.6,50,75,NULL,SAN FRANCISCO CITY,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SAN FRANCISCO CITY,880097,848617,96.4,662633,75.3,262229,29.8,31480,3.6,160,75,67000,SAN FRANCISCO CITY,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SOUTH SAN FRANCISCO CITY,67378,62397,92.6,47888,71.1,21077,31.3,4981,7.4,160,81,73262,SAN FRANCISCO CITY,880097,38.3,360323,47.6,52.4,2.4,3.17,N,N,21452,2.8,3.8,134705,15.2,355706,40.2,44460,5,1617,0.2,303501,34.3,3158,0.4,5267,0.6,35949,4.1,64.4,35.6,63.3,844517,44.3,19.5,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SAN FRANCISCO COUNTY,880097,848617,96.4,662633,75.3,262229,29.8,31480,3.6,50,75,NULL,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SAN FRANCISCO CITY,880097,848617,96.4,662633,75.3,262229,29.8,31480,3.6,160,75,67000,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,SAN FRANCISCO,N,NULL,480,NULL,19940829,N,CHINESE HOSPITAL LABORATORY,NULL,NULL,19940829,NULL,NULL,05D0062669,9,Y,CA,5,LAB,845 JACKSON ST,0,20190102,NULL,2,94133,6,75,U,41884,NULL,NULL,NULL,NULL,NULL,NULL,SOUTH SAN FRANCISCO CITY,67378,62397,92.6,47888,71.1,21077,31.3,4981,7.4,160,81,73262,SOUTH SAN FRANCISCO CITY,67378,40.7,20939,75.3,24.7,3.18,3.67,N,N,2312,4.3,0,21045,31.2,11492,17,1436,2.1,23,0,30274,44.9,693,1,0,0,2467,3.7,58.5,41.5,73.4,63484,59.5,22.9,236,-122.4091608,37.7954715,CHINESE HOSPITAL,b,"845 JACKSON STREET
                SAN FRANCISCO, CA 94133-4899",941334899
1,22,LONG BEACH,N,NULL,200,NULL,19930111,N,PULMONARY LABORATORY-SMMC,NULL,NULL,19930111,NULL,NULL,05D0554956,9,Y,CA,5,LAB,1050 LINDEN AVENUE,1,19941231,NULL,1,90813,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,LONG BEACH CITY,466896,431741,92.5,281999,60.4,178830,38.3,35155,7.5,160,37,43000,LONG BEACH CITY,466896,35.3,167447,60.6,39.4,2.75,3.54,12588,37,17425,4.8,4,202761,43.2,132123,28.1,57719,12.3,1250,0.3,61923,13.2,3307,0.7,384,0.1,9992,2.1,74.6,25.4,53.1,438418,48.2,16.3,100,-118.1863138,33.7797822,ST. MARY MEDICAL CENTER OF LONG BEACH,c,"1050 LINDEN AVENUE
                LONG BEACH, CA 90813-3393",908133393
1,22,UPLAND,Y,A,460,NULL,20060829,Y,SAN ANTONIO REGIONAL HOSPITAL LABORATORY,NULL,NULL,19930106,NULL,NULL,05D0564961,9,N,CA,5,M1,999 SAN BERNARDINO ROAD,0,20190227,5,3,91786,6,71,U,40140,05D0562872,NULL,NULL,NULL,NULL,NULL,UPLAND CITY,76615,73145,95.5,51676,67.4,27674,36.1,3470,4.5,160,71,81344,UPLAND CITY,76615,38.1,25582,74.9,25.1,2.98,3.4,N,N,2663,4.4,21.2,39840,51.8,26269,34.1,2527,3.3,0,0,6433,8.4,0,0,35,0,1881,2.4,83.8,16.2,61.7,72170,36.8,9.7,39,-117.6378263,34.1015661,SAN ANTONIO REGIONAL HOSPITAL,b,"999 SAN BERNARDINO ROAD
                UPLAND, CA 91786-4920",917864920
1,22,SAN JOSE,N,NULL,530,NULL,19930115,N,O'CONNOR HOSPITAL LABORATORY,NULL,NULL,19930115,NULL,NULL,05D0063391,9,Y,CA,5,LAB,2105 FOREST AVE,0,20190427,NULL,2,95128,6,85,U,41940,05D0669240,05D1058150,NULL,NULL,NULL,NULL,SAN JOSE CITY,1031513,982229,95.2,751317,72.8,312089,30.3,49284,4.8,160,85,68000,SAN JOSE CITY,1031513,36.8,321913,73.2,26.8,3.17,3.62,37817,13.2,26206,3.2,3.5,332603,32.1,267315,25.8,28126,2.7,1957,0.2,366134,35.4,4232,0.4,2869,0.3,32117,3.1,59.7,40.3,57.4,970923,57.5,24.8,209,-121.9383789,37.3277552,O'CONNOR HOSPITAL,d,"2105 FOREST AVENUE
                SAN JOSE, CA 95128-1471",951281471
1,22,VALENCIA,N,NULL,200,NULL,19930112,N,HENRY MAYO NEWHALL MEM HOSP PHY,NULL,NULL,19930112,NULL,NULL,05D0060015,9,Y,CA,5,M1,23845 MCBEAN PARKWAY,0,20190227,NULL,2,91355,6,37,U,31084,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,117,-118.5632206,34.4214827,HENRY MAYO NEWHALL MEMORIAL HOSPITAL,c,"23845 MCBEAN PARKWAY
                VALENCIA, CA 91355-2083",913552083
